Sample	AMP_conc	control	Evo	AB	Day	Replicate
A_T1_1_d12	0.3	147 %	ANC	5	12	1
A_T1_1_d16	1.4	62 %	ANC	5	16	1
A_T1_1_d20	0.8	98 %	ANC	5	20	1
A_T1_1_d8	0.3	96 %	ANC	5	8	1
A_T1_2_d12	0.4	87 %	ANC	5	12	2
A_T1_2_d16	0.6	66 %	ANC	5	16	2
A_T1_2_d20	0.4	93 %	ANC	5	20	2
A_T1_2_d8	0.3	81 %	ANC	5	8	2
A_T1_3_d12	0.5	99 %	ANC	5	12	3
A_T1_3_d16	0.7	71 %	ANC	5	16	3
A_T1_3_d20	0.4	122 %	ANC	5	20	3
A_T1_3_d8	0.3	105 %	ANC	5	8	3
A_T1_4_d12	0.3	101 %	ANC	5	12	4
A_T1_4_d16	2.6	49 %	ANC	5	16	4
A_T1_4_d20	0.3	116 %	ANC	5	20	4
A_T1_4_d8	1.0	99 %	ANC	5	8	4
A_T2_1_d12	0.3	145 %	ANC	50	12	1
A_T2_1_d16	0.6	69 %	ANC	50	16	1
A_T2_1_d20	0.4	111 %	ANC	50	20	1
A_T2_1_d8	0.4	73 %	ANC	50	8	1
A_T2_2_d12	0.3	116 %	ANC	50	12	2
A_T2_2_d16	0.9	61 %	ANC	50	16	2
A_T2_2_d20	0.3	87 %	ANC	50	20	2
A_T2_2_d8	0.4	80 %	ANC	50	8	2
A_T2_3_d12	0.3	94 %	ANC	50	12	3
A_T2_3_d16	0.6	72 %	ANC	50	16	3
A_T2_3_d20	0.3	103 %	ANC	50	20	3
A_T2_3_d8	0.4	80 %	ANC	50	8	3
A_T2_4_d12	0.3	120 %	ANC	50	12	4
A_T2_4_d16	0.9	88 %	ANC	50	16	4
A_T2_4_d20	0.3	146 %	ANC	50	20	4
A_T2_4_d8	0.4	98 %	ANC	50	8	4
A_T3_1_d12	0.3	82 %	ANC	500	12	1
A_T3_1_d16	0.6	23 %	ANC	500	16	1
A_T3_1_d20	0.5	99 %	ANC	500	20	1
A_T3_1_d8	0.6	88 %	ANC	500	8	1
A_T3_2_d12	0.3	105 %	ANC	500	12	2
A_T3_2_d16	0.7	70 %	ANC	500	16	2
A_T3_2_d20	0.3	175 %	ANC	500	20	2
A_T3_3_d12	0.3	164 %	ANC	500	12	3
A_T3_3_d16	0.6	62 %	ANC	500	16	3
A_T3_3_d20	0.3	96 %	ANC	500	20	3
A_T3_3_d8	4.9	2 %	ANC	500	8	3
A_T3_4_d12	0.6	97 %	ANC	500	12	4
A_T3_4_d16	0.6	58 %	ANC	500	16	4
A_T3_4_d20	3.0	96 %	ANC	500	20	4
A_T3_4_d8	2.1	26 %	ANC	500	8	4
A_T4_1_d12	0.3	127 %	ANC	0	12	1
A_T4_1_d16	0.4	51 %	ANC	0	16	1
A_T4_1_d20	1.1	106 %	ANC	0	20	1
A_T4_1_d8	0.3	285 %	ANC	0	8	1
A_T4_2_d12	0.4	95 %	ANC	0	12	2
A_T4_2_d16	0.7	61 %	ANC	0	16	2
A_T4_2_d20	0.4	76 %	ANC	0	20	2
A_T4_2_d8	0.4	93 %	ANC	0	8	2
A_T4_3_d12	0.3	84 %	ANC	0	12	3
A_T4_3_d16	0.8	54 %	ANC	0	16	3
A_T4_3_d20	0.4	113 %	ANC	0	20	3
A_T4_3_d8	0.5	107 %	ANC	0	8	3
A_T4_4_d12	1.3	85 %	ANC	0	12	4
A_T4_4_d16	2.2	8 %	ANC	0	16	4
A_T4_4_d20	0.3	116 %	ANC	0	20	4
A_T4_4_d8	0.3	100 %	ANC	0	8	4
control_T1_1_d12	0.3	54 %	No_BAC	5	12	1
control_T1_1_d16	609.0	94 %	No_BAC	5	16	1
control_T1_1_d20	0.3	159 %	No_BAC	5	20	1
control_T1_1_d8	4.5	113 %	No_BAC	5	8	1
control_T1_2_d12	0.3	144 %	No_BAC	5	12	2
control_T1_2_d16	635.5	89 %	No_BAC	5	16	2
control_T1_2_d20	0.3	92 %	No_BAC	5	20	2
control_T1_2_d8	5.2	103 %	No_BAC	5	8	2
control_T2_1_d12	0.3	90 %	No_BAC	50	12	1
control_T2_1_d16	851.2	74 %	No_BAC	50	16	1
control_T2_1_d20	0.3	149 %	No_BAC	50	20	1
control_T2_1_d8	50.1	148 %	No_BAC	50	8	1
control_T2_2_d12	0.3	101 %	No_BAC	50	12	2
control_T2_2_d16	882.8	69 %	No_BAC	50	16	2
control_T2_2_d20	0.3	100 %	No_BAC	50	20	2
control_T2_2_d8	42.4	124 %	No_BAC	50	8	2
control_T3_1_d12	0.3	164 %	No_BAC	500	12	1
control_T3_1_d16	828.9	76 %	No_BAC	500	16	1
