Sample	C_amp	Evo	Missing_species	Rep	Time_h
ANC_1_tp12	424	ANC	none	1	12
ANC_1_tp24	3	ANC	none	1	24
ANC_1_tp6	737	ANC	none	1	6
ANC_2_tp12	437	ANC	none	2	12
ANC_2_tp24	3	ANC	none	2	24
ANC_2_tp6	683	ANC	none	2	6
ANC_3_tp12	368	ANC	none	3	12
ANC_3_tp24	2	ANC	none	3	24
ANC_3_tp6	690	ANC	none	3	6
ANC_4_tp12	398	ANC	none	4	12
ANC_4_tp24	1	ANC	none	4	24
ANC_4_tp6	644	ANC	none	4	6
ANC-1972_1_tp12	498	ANC	1972	1	12
ANC-1972_1_tp24	32	ANC	1972	1	24
ANC-1972_1_tp6	648	ANC	1972	1	6
ANC-1972_2_tp12	448	ANC	1972	2	12
ANC-1972_2_tp24	41	ANC	1972	2	24
ANC-1972_2_tp6	654	ANC	1972	2	6
ANC-1972_3_tp12	492	ANC	1972	3	12
ANC-1972_3_tp24	70	ANC	1972	3	24
ANC-1972_3_tp6	653	ANC	1972	3	6
ANC-1972_4_tp12	510	ANC	1972	4	12
ANC-1972_4_tp24	33	ANC	1972	4	24
ANC-1972_4_tp6	683	ANC	1972	4	6
ANC-1977_1_tp12	488	ANC	1977	1	12
ANC-1977_1_tp24	11	ANC	1977	1	24
ANC-1977_1_tp6	688	ANC	1977	1	6
ANC-1977_2_tp12	516	ANC	1977	2	12
ANC-1977_2_tp24	2	ANC	1977	2	24
ANC-1977_2_tp6	647	ANC	1977	2	6
ANC-1977_3_tp12	549	ANC	1977	3	12
ANC-1977_3_tp24	2	ANC	1977	3	24
ANC-1977_3_tp6	767	ANC	1977	3	6
ANC-1977_4_tp12	497	ANC	1977	4	12
ANC-1977_4_tp24	37	ANC	1977	4	24
ANC-1977_4_tp6	697	ANC	1977	4	6
ANC-403_1_tp12	570	ANC	403	1	12
ANC-403_1_tp24	2	ANC	403	1	24
ANC-403_1_tp6	728	ANC	403	1	6
ANC-403_2_tp12	634	ANC	403	2	12
ANC-403_2_tp24	3	ANC	403	2	24
ANC-403_2_tp6	727	ANC	403	2	6
ANC-403_3_tp12	525	ANC	403	3	12
ANC-403_3_tp24	86	ANC	403	3	24
ANC-403_3_tp6	695	ANC	403	3	6
ANC-403_4_tp12	500	ANC	403	4	12
