AB	Pop	Species	Replicate	k	auc_e
1333.333333	ANC	6	1	6334.601307	5.095
592.5925926	ANC	6	1	0.004728069	11.715
263.3744856	ANC	6	1	0.00644205	14.56
117.0553269	ANC	6	1	0.005094218	11.075
52.02458975	ANC	6	1	0.019721268	41.095
23.12203989	ANC	6	1	0.11387411	271.635
10.27646217	ANC	6	1	0.253094214	612.375
4.567316521	ANC	6	1	0.688720577	1438.495
2.029918454	ANC	6	1	0.61088947	1412
0.90218598	ANC	6	1	0.618892819	1450.84
0.400971546	ANC	6	1	0.629719285	1465.765
0	ANC	6	1	0.859872988	1923.59
2000	ANC	1977	1	0.007135814	12.595
888.8888889	ANC	1977	1	0.532406862	189.295
395.0617284	ANC	1977	1	0.243197904	238.125
175.5829904	ANC	1977	1	0.446660794	943.875
78.03688462	ANC	1977	1	0.353270488	754.93
34.68305983	ANC	1977	1	0.478862319	1006.72
15.41469326	ANC	1977	1	0.383240092	827.64
6.850974782	ANC	1977	1	0.40816023	886.95
3.044877681	ANC	1977	1	0.426763891	928.185
1.353278969	ANC	1977	1	0.398051417	861.89
0.60145732	ANC	1977	1	0.403048546	882.17
0.267314364	ANC	1977	1	0.462135474	1010.97
2000	ANC	2164	1	0.002645942	41760
888.8888889	ANC	2164	1	0.004170395	32051
395.0617284	ANC	2164	1	0.002137713	20911
175.5829904	ANC	2164	1	0.006051724	13.545
78.03688462	ANC	2164	1	0.006	15.51
34.68305983	ANC	2164	1	0.004696218	9.455
15.41469326	ANC	2164	1	0.00823029	17.565
6.850974782	ANC	2164	1	0.013445377	32.1
3.044877681	ANC	2164	1	0.162665336	98.9
1.353278969	ANC	2164	1	0.369604598	663.01
0.60145732	ANC	2164	1	0.374482669	746.115
0.267314364	ANC	2164	1	0.227763792	414.535
2000	ANC	2792	1	0.002034864	42491
888.8888889	ANC	2792	1	0.004606914	10.925
395.0617284	ANC	2792	1	0.003053547	6.975
175.5829904	ANC	2792	1	0.005038614	35004
78.03688462	ANC	2792	1	0.009233013	21.075
34.68305983	ANC	2792	1	0.004393452	21763
15.41469326	ANC	2792	1	0.004	19603
6.850974782	ANC	2792	1	0.012092965	45381
3.044877681	ANC	2792	1	0.004337232	20333
1.353278969	ANC	2792	1	0.01624302	35.69
0.60145732	ANC	2792	1	0.012949275	29.31
0.267314364	ANC	2792	1	0.023535278	41.91
1333.333333	ANC	403	1	0.002203863	45539
592.5925926	ANC	403	1	0.009543849	21.49
263.3744856	ANC	403	1	0.328546661	326.815
117.0553269	ANC	403	1	0.18312593	370.775
52.02458975	ANC	403	1	0.197706346	420.8
23.12203989	ANC	403	1	0.239570489	511.53
10.27646217	ANC	403	1	0.231594989	501.6
4.567316521	ANC	403	1	0.217952205	473.165
2.029918454	ANC	403	1	0.183677207	406.57
0.90218598	ANC	403	1	0.219643487	480.83
0.400971546	ANC	403	1	0.220489044	481.21
0	ANC	403	1	0.196777067	443.245
1333.333333	ANC	1299	1	0.00360795	12571
592.5925926	ANC	1299	1	0.002305877	45541
263.3744856	ANC	1299	1	0.004638872	10.295
117.0553269	ANC	1299	1	0.00406909	21398
52.02458975	ANC	1299	1	0.009430104	19.865
23.12203989	ANC	1299	1	0.004973932	11.435
10.27646217	ANC	1299	1	0.022638139	53.235
4.567316521	ANC	1299	1	0.008208506	18.49
2.029918454	ANC	1299	1	0.311247989	202.21
0.90218598	ANC	1299	1	0.147689015	316.35
0.400971546	ANC	1299	1	0.268514655	621.77
0	ANC	1299	1	0.388124111	910.335
1333.333333	ANC	1977	1	0.012492326	23.125
592.5925926	ANC	1977	1	0.712943867	67.975
263.3744856	ANC	1977	1	0	0
117.0553269	ANC	1977	1	0.414755946	874.145
52.02458975	ANC	1977	1	0.347484376	744.335
23.12203989	ANC	1977	1	0.390646908	835.295
10.27646217	ANC	1977	1	0.386523895	835.37
4.567316521	ANC	1977	1	0.431988129	925.725
2.029918454	ANC	1977	1	0.41401393	895.555
0.90218598	ANC	1977	1	0.402403719	867.955
0.400971546	ANC	1977	1	0.411979082	893.245
0	ANC	1977	1	0.479322277	1056.73
1333.333333	ANC	2164	1	0.002509736	45444
592.5925926	ANC	2164	1	0.003	7.665
263.3744856	ANC	2164	1	0.007812978	45520
117.0553269	ANC	2164	1	0.004	13424
52.02458975	ANC	2164	1	0.007012246	17.795
23.12203989	ANC	2164	1	0.00675057	15.63
10.27646217	ANC	2164	1	0.024211066	34.215
4.567316521	ANC	2164	1	0.006366822	13.59
2.029918454	ANC	2164	1	0.282745002	399.585
0.90218598	ANC	2164	1	0.246463208	437.4
0.400971546	ANC	2164	1	0.250297913	467.01
0	ANC	2164	1	0.527268794	959.275
1333.333333	ANC	2792	1	0.00410835	9.105
592.5925926	ANC	2792	1	0.003969985	31625
263.3744856	ANC	2792	1	0.003998755	45635
117.0553269	ANC	2792	1	0.003099968	6.785
52.02458975	ANC	2792	1	0.007718692	17.41
23.12203989	ANC	2792	1	0.004951179	11.165
10.27646217	ANC	2792	1	0.01248647	30.075
4.567316521	ANC	2792	1	0.008137463	45461
2.029918454	ANC	2792	1	0.00589633	14.65
0.90218598	ANC	2792	1	0.007011463	15.485
0.400971546	ANC	2792	1	0.007597159	17.285
0	ANC	2792	1	0.846700114	1150.62
2000	ANC	6	1	0.002191388	36192
888.8888889	ANC	6	1	0.005543605	45261
395.0617284	ANC	6	1	0.003189751	5.745
175.5829904	ANC	6	1	0.005368261	12.315
78.03688462	ANC	6	1	0	0
34.68305983	ANC	6	1	0.237134404	395.365
15.41469326	ANC	6	1	2306.646406	373.825
6.850974782	ANC	6	1	0.951441661	1757.035
3.044877681	ANC	6	1	0.382581024	912.13
1.353278969	ANC	6	1	0.367144559	878.65
0.60145732	ANC	6	1	0.432194258	1023.73
0.267314364	ANC	6	1	0.791396784	1756.51
2000	ANC	403	1	0.002364413	27851
888.8888889	ANC	403	1	0.002084278	36251
395.0617284	ANC	403	1	0.23447826	183.155
175.5829904	ANC	403	1	0.221422273	412.505
78.03688462	ANC	403	1	0.197020957	415.335
34.68305983	ANC	403	1	0.379136956	774.495
15.41469326	ANC	403	1	0.210002611	452.275
6.850974782	ANC	403	1	0.218478833	483.555
3.044877681	ANC	403	1	0.200493779	439.475
1.353278969	ANC	403	1	0.194033107	429.49
0.60145732	ANC	403	1	0.20169468	446.33
0.267314364	ANC	403	1	0.223114851	500.585
2000	ANC	1299	1	4737.433739	6.205
888.8888889	ANC	1299	1	0.003355355	46966
395.0617284	ANC	1299	1	0.00322666	6.535
175.5829904	ANC	1299	1	0.005644914	25173
78.03688462	ANC	1299	1	0.007336379	19.645
34.68305983	ANC	1299	1	0.005004797	42583
15.41469326	ANC	1299	1	0.012227848	27.085
6.850974782	ANC	1299	1	0.009736949	24.495
3.044877681	ANC	1299	1	0.22163805	280.35
1.353278969	ANC	1299	1	0.317813081	350.42
0.60145732	ANC	1299	1	0.260913755	613.36
0.267314364	ANC	1299	1	0.436835816	997.11
1333.333333	ANC	6	2	0.004053931	23529
592.5925926	ANC	6	2	0.00597954	17868
263.3744856	ANC	6	2	0.005931124	28460
117.0553269	ANC	6	2	0.004911134	11.395
52.02458975	ANC	6	2	0.01101308	21.095
23.12203989	ANC	6	2	0.260534263	455.345
10.27646217	ANC	6	2	0.24894156	600.835
4.567316521	ANC	6	2	0.826434118	1540.77
2.029918454	ANC	6	2	0.581286038	1359.835
0.90218598	ANC	6	2	0.872968766	1964.155
0.400971546	ANC	6	2	0.766	1724.315
0	ANC	6	2	0.783248329	1756.385
2000	ANC	1977	2	0.008665345	45429
888.8888889	ANC	1977	2	0.010132195	16.455
395.0617284	ANC	1977	2	0.397064988	639.19
175.5829904	ANC	1977	2	0.405679627	863.565
78.03688462	ANC	1977	2	0.384064183	820.39
34.68305983	ANC	1977	2	0.469525659	981.055
15.41469326	ANC	1977	2	0.397478274	850.94
6.850974782	ANC	1977	2	0.460921649	998.815
3.044877681	ANC	1977	2	0.419684151	912.365
