Sample	Sample_id	Timeh	AMP_conc	Evo	Species	Replicate	OD
1_ANC_403_1_tp6	1	6	1,199459227	ANC	HAMBI_403	1	0,059
2_ANC_403_2_tp6	2	6	5,227469114	ANC	HAMBI_403	2	0,072
3_ANC_403_3_tp6	3	6	1,288557609	ANC	HAMBI_403	3	0,088
4_EVO_403_1_tp6	4	6	9,167385426	EVO	HAMBI_403	1	0,051
5_EVO_403_2_tp6	5	6	7,755965492	EVO	HAMBI_403	2	0,054
6_EVO_403_3_tp6	6	6	6,768917611	EVO	HAMBI_403	3	0,066
7_ANC_1972_1_tp6	7	6	1175,671408	ANC	HAMBI_1972	1	0,043
8_ANC_1972_2_tp6	8	6	1019,858772	ANC	HAMBI_1972	2	0,044
9_ANC_1972_3_tp6	9	6	1167,376207	ANC	HAMBI_1972	3	0,04
10_EVO_1972_1_tp6	10	6	1,520044485	EVO	HAMBI_1972	1	0,22
11_EVO_1972_2_tp6	11	6	2,239783271	EVO	HAMBI_1972	2	0,221
12_EVO_1972_3_tp6	12	6	1,666137358	EVO	HAMBI_1972	3	0,239
13_ANC_1977_1_tp6	13	6	1378,88462	ANC	HAMBI_1977	1	0,109
14_ANC_1977_2_tp6	14	6	1397,152425	ANC	HAMBI_1977	2	0,088
15_ANC_1977_3_tp6	15	6	1688,158974	ANC	HAMBI_1977	3	0,124
16_EVO_1977_1_tp6	16	6	1807,563868	EVO	HAMBI_1977	1	0,058
17_EVO_1977_2_tp6	17	6	1748,724532	EVO	HAMBI_1977	2	0,059
18_EVO_1977_3_tp6	18	6	1769,2417	EVO	HAMBI_1977	3	0,055
19_ANC_2160_1_tp6	19	6	1691,894681	ANC	HAMBI_2160	1	0,038
20_ANC_2160_2_tp6	20	6	1903,197166	ANC	HAMBI_2160	2	0,044
21_ANC_2160_3_tp6	21	6	2010,824106	ANC	HAMBI_2160	3	0,039
22_EVO_2160_1_tp6	22	6	1905,849572	EVO	HAMBI_2160	1	0,045
23_EVO_2160_2_tp6	23	6	1831,054881	EVO	HAMBI_2160	2	0,046
24_EVO_2160_3_tp6	24	6	1907,81652	EVO	HAMBI_2160	3	0,044
25_Cont_1_tp6	25	6	1826,436902	Cont	Bacteria_free_control	1	0,035
26_Cont_2_tp6	26	6	1975,895346	Cont	Bacteria_free_control	2	0,037
27_Cont_3_tp6	27	6	1721,255601	Cont	Bacteria_free_control	3	0,038
28_ANC_403_1_tp12	28	12	1,339662654	ANC	HAMBI_403	1	0,131
29_ANC_403_2_tp12	29	12	1,931635816	ANC	HAMBI_403	2	0,115
30_ANC_403_3_tp12	30	12	1,96187625	ANC	HAMBI_403	3	0,132
31_EVO_403_1_tp12	31	12	4,881802523	EVO	HAMBI_403	1	0,127
32_EVO_403_2_tp12	32	12	3,279341964	EVO	HAMBI_403	2	0,131
33_EVO_403_3_tp12	33	12	2,668034638	EVO	HAMBI_403	3	0,14
34_ANC_1972_1_tp12	34	12	2,376314623	ANC	HAMBI_1972	1	0,126
35_ANC_1972_2_tp12	35	12	2,381793456	ANC	HAMBI_1972	2	0,169
36_ANC_1972_3_tp12	36	12	5,569714694	ANC	HAMBI_1972	3	0,115
37_EVO_1972_1_tp12	37	12	1,181299696	EVO	HAMBI_1972	1	0,307
38_EVO_1972_2_tp12	38	12	0,557990543	EVO	HAMBI_1972	2	0,31
39_EVO_1972_3_tp12	39	12	0,688218372	EVO	HAMBI_1972	3	0,346
40_ANC_1977_1_tp12	40	12	820,9532654	ANC	HAMBI_1977	1	0,09
41_ANC_1977_2_tp12	41	12	781,6515729	ANC	HAMBI_1977	2	0,092
42_ANC_1977_3_tp12	42	12	728,8190662	ANC	HAMBI_1977	3	0,095
43_EVO_1977_1_tp12	43	12	1311,334341	EVO	HAMBI_1977	1	0,185
44_EVO_1977_2_tp12	44	12	1372,244456	EVO	HAMBI_1977	2	0,176
45_EVO_1977_3_tp12	45	12	1167,205015	EVO	HAMBI_1977	3	0,187
46_ANC_2160_1_tp12	46	12	1718,064057	ANC	HAMBI_2160	1	0,05
47_ANC_2160_2_tp12	47	12	1699,201595	ANC	HAMBI_2160	2	0,044
48_ANC_2160_3_tp12	48	12	1718,455027	ANC	HAMBI_2160	3	0,043
49_EVO_2160_1_tp12	49	12	1775,882927	EVO	HAMBI_2160	1	0,051
50_EVO_2160_2_tp12	50	12	1903,422531	EVO	HAMBI_2160	2	0,053
51_EVO_2160_3_tp12	51	12	1819,363204	EVO	HAMBI_2160	3	0,05
52_Cont_1_tp12	52	12	1874,27332	Cont	Bacteria_free_control	1	0,036
53_Cont_2_tp12	53	12	1786,189619	Cont	Bacteria_free_control	2	0,041
54_Cont_3_tp12	54	12	1865,199926	Cont	Bacteria_free_control	3	0,038
55_ANC_403_1_tp24	55	24	2,504621569	ANC	HAMBI_403	1	0,119
56_ANC_403_2_tp24	56	24	2,879572912	ANC	HAMBI_403	2	0,115
57_ANC_403_3_tp24	57	24	0,396120862	ANC	HAMBI_403	3	0,13
58_EVO_403_1_tp24	58	24	0,798340755	EVO	HAMBI_403	1	0,138
59_EVO_403_2_tp24	59	24	0,780660839	EVO	HAMBI_403	2	0,173
60_EVO_403_3_tp24	60	24	3,21829283	EVO	HAMBI_403	3	0,135
61_ANC_1972_1_tp24	61	24	3,887697321	ANC	HAMBI_1972	1	0,261
62_ANC_1972_2_tp24	62	24	1,755298097	ANC	HAMBI_1972	2	0,275
63_ANC_1972_3_tp24	63	24	1,547948791	ANC	HAMBI_1972	3	0,286
64_EVO_1972_1_tp24	64	24	1,660046969	EVO	HAMBI_1972	1	0,284
65_EVO_1972_2_tp24	65	24	3,977555297	EVO	HAMBI_1972	2	0,282
66_EVO_1972_3_tp24	66	24	2,681324201	EVO	HAMBI_1972	3	0,313
67_ANC_1977_1_tp24	67	24	3,054455434	ANC	HAMBI_1977	1	0,13
68_ANC_1977_2_tp24	68	24	4,869460251	ANC	HAMBI_1977	2	0,107
69_ANC_1977_3_tp24	69	24	4,632887893	ANC	HAMBI_1977	3	0,108
70_EVO_1977_1_tp24	70	24	1,042031461	EVO	HAMBI_1977	1	0,248
71_EVO_1977_2_tp24	71	24	1,483208816	EVO	HAMBI_1977	2	0,243
72_EVO_1977_3_tp24	72	24	2,097959368	EVO	HAMBI_1977	3	0,257
73_ANC_2160_1_tp24	73	24	1617,203408	ANC	HAMBI_2160	1	0,044
74_ANC_2160_2_tp24	74	24	1621,187216	ANC	HAMBI_2160	2	0,049
75_ANC_2160_3_tp24	75	24	1538,69565	ANC	HAMBI_2160	3	0,042
76_EVO_2160_1_tp24	76	24	1640,93299	EVO	HAMBI_2160	1	0,056
77_EVO_2160_2_tp24	77	24	1566,768867	EVO	HAMBI_2160	2	0,055
78_EVO_2160_3_tp24	78	24	1615,777109	EVO	HAMBI_2160	3	0,054
79_Cont_1_tp24	79	24	1583,727906	Cont	Bacteria_free_control	1	0,038
80_Cont_2_tp24	80	24	1516,457753	Cont	Bacteria_free_control	2	0,039
81_Cont_3_tp24	81	24	1771,700513	Cont	Bacteria_free_control	3	0,038
82_Cont_1_tp0	82	0	1888,90423	Cont	Bacteria_free_control	1	0
83_Cont_2_tp0	83	0	2066,830502	Cont	Bacteria_free_control	2	0
84_Cont_3_tp0	84	0	1936,201359	Cont	Bacteria_free_control	3	0
85_Cont_4_tp0	85	0	1960,789796	Cont	Bacteria_free_control	4	0
86_ANC_HAMBI_403_1_tp0	86	0	1963,181472	ANC	HAMBI_403	1	0
87_EVO_HAMBI_403_1_tp0	87	0	1981,750782	EVO	HAMBI_403	1	0
88_ANC_HAMBI_1972_1_tp0	88	0	1960,480852	ANC	HAMBI_1972	1	0
89_EVO_HAMBI_1972_1_tp0	89	0	1966,550726	EVO	HAMBI_1972	1	0
90_ANC_HAMBI_1977_1_tp0	90	0	1967,990958	ANC	HAMBI_1977	1	0
91_EVO_HAMBI_1977_1_tp0	91	0	1969,193329	EVO	HAMBI_1977	1	0
92_ANC_HAMBI_2160_1_tp0	92	0	1966,053966	ANC	HAMBI_2160	1	0
93_EVO_HAMBI_2160_1_tp0	93	0	1967,447245	EVO	HAMBI_2160	1	0
