strainID	MIC_mean_ANC	MIC_mean_EVO	k_mean_ANC	k_mean_EVO	dMIC	dk
HAMBI-1988	0	0.30072866	0	0.331532757	0.30072866	0.331532757
HAMBI-2443	0.267314364	0.334142955	0.6589275925	0.6263052585	0.066828591	-0.032622334
HAMBI-2792	0.267314364	0.90218598	0.927376103	0.6343611865	0.634871616	-0.2930149165
HAMBI-3237	0.267314364	0	0.472725881	0	-0.267314364	-0.472725881
HAMBI-2160	0.400971546	7.4218893455	0.1551393345	0.058150793	7.0209177995	-0.0969885415
HAMBI-3031	0.584750172	2.029918454	0.3101627655	0.187311066	1.445168282	-0.1228516995
HAMBI-1279	0.60145732	117.0553269	0.163662206	0.2181411735	116.45386958	0.0544789675
HAMBI-1292	0.60145732	0.400971546	0.29052215	0.279428916	-0.200485774	-0.0110932340000001
HAMBI-0097	1.1277324745	0.60145732	1.11765455	0.5416475465	-0.5262751545	-0.5760070035
HAMBI-1842	1.353278969	1.353278969	0.4150890845	0.700177546	0	0.2850884615
HAMBI-0262	2.029918454	8.563718476	0.2981429585	0.2794970695	6.533800022	-0.018645889
HAMBI-1299	3.2986174875	175.5829904	0.405406937	0.841213182	172.2843729125	0.435806245
HAMBI-2164	4.567316521	52.02458975	0.537405613	0.629882581	47.457273229	0.0924769679999999
HAMBI-2494	4.567316521	117.0553269	0.620274515	0.5368561245	112.488010379	-0.0834183904999999
HAMBI-0105	6.850974782	8.563718476	0.5974698495	0.5340330575	1.712743694	-0.063436792
HAMBI-2659	7.4218893455	7.4218893455	0.5560213805	0.4315209085	0	-0.124500472
HAMBI-1287	19.268366575	175.5829904	0.455751903	0.3971533675	156.314623825	-0.0585985355
HAMBI-0006	43.35382479	2000	0.8215606585	0.5753560335	1956.64617521	-0.246204625
HAMBI-1896	52.02458975	1333.333333	0.285203759	0.3529162195	1281.30874325	0.0677124605
HAMBI-1972	219.478738	2000	0.3310849625	0.392228306	1780.521262	0.0611433435000001
HAMBI-0403	592.5925926	493.8271605	0.1961860195	0.236233368	-98.7654321	0.0400473485
HAMBI-1977	962.9629628	2000	0.470410978	0.3468118415	1037.0370372	-0.1235991365
HAMBI-2159	2000	2000	0.700481688	0.599046405	0	-0.101435283
