sample	sample_id	day	treatment	community	amp_conc	replicate	cell_number_ml	m_atp	APU	APU2	APU3_uM_per_billion_cells	Comm	Env	
a_t1_1	a_t1_1_d1	1	1	a	0	1	2278121153	1,28E-06	12,83	22,78121153	0,563348215	ANC	5	
b_t1_1	b_t1_1_d1	1	1	b	0	1	1895410106	1,16E-06	11,59	18,95410106	0,61164286	E1287	5	
c_t1_1	c_t1_1_d1	1	1	c	0	1	2125522016	1,30E-06	12,97	21,25522016	0,610432122	E1896	5	
d_t1_1	d_t1_1_d1	1	1	d	0	1	2665804308	1,40E-06	13,98	26,65804308	0,524603313	E1972	5	
e_t1_1	e_t1_1_d1	1	1	e	0	1	2053187179	1,30E-06	13,03	20,53187179	0,634648031	E1977	5	
f_t1_1	f_t1_1_d1	1	1	f	0	1	2489706871	1,17E-06	11,66	24,89706871	0,468385512	EVO	5	
a_t1_2	a_t1_2_d1	1	1	a	0	2	2223503634	1,24E-06	12,39	22,23503634	0,557241429	ANC	5	
b_t1_2	b_t1_2_d1	1	1	b	0	2	1580230480	1,07E-06	10,71	15,8023048	0,677857574	E1287	5	
c_t1_2	c_t1_2_d1	1	1	c	0	2	2201910805	1,26E-06	12,59	22,01910805	0,571808448	E1896	5	
d_t1_2	d_t1_2_d1	1	1	d	0	2	2773563570	1,32E-06	13,18	27,7356357	0,475026759	E1972	5	
e_t1_2	e_t1_2_d1	1	1	e	0	2	2370973602	1,21E-06	12,12	23,70973602	0,511067834	E1977	5	
f_t1_2	f_t1_2_d1	1	1	f	0	2	2631107869	1,06E-06	10,60	26,31107869	0,403036546	EVO	5	
a_t1_3	a_t1_3_d1	1	1	a	0	3	2358031512	1,23E-06	12,29	23,58031512	0,521216735	ANC	5	
b_t1_3	b_t1_3_d1	1	1	b	0	3	2047036629	1,10E-06	11,01	20,47036629	0,538042462	E1287	5	
c_t1_3	c_t1_3_d1	1	1	c	0	3	2404525068	1,31E-06	13,12	24,04525068	0,54545006	E1896	5	
d_t1_3	d_t1_3_d1	1	1	d	0	3	2763754824	1,44E-06	14,35	27,63754824	0,519265018	E1972	5	
e_t1_3	e_t1_3_d1	1	1	e	0	3	2550182076	1,31E-06	13,07	25,50182076	0,512679831	E1977	5	
f_t1_3	f_t1_3_d1	1	1	f	0	3	2599705431	1,15E-06	11,49	25,99705431	0,442139016	EVO	5	
a_t1_4	a_t1_4_d1	1	1	a	0	4	2181832515	1,26E-06	12,65	21,81832515	0,579663349	ANC	5	
b_t1_4	b_t1_4_d1	1	1	b	0	4	1725661194	1,10E-06	11,04	17,25661194	0,639883792	E1287	5	
c_t1_4	c_t1_4_d1	1	1	c	0	4	2262994480	1,27E-06	12,66	22,6299448	0,559317594	E1896	5	
d_t1_4	d_t1_4_d1	1	1	d	0	4	2565607370	1,37E-06	13,71	25,6560737	0,53424155	E1972	5	
e_t1_4	e_t1_4_d1	1	1	e	0	4	2366760478	1,29E-06	12,90	23,66760478	0,5451459	E1977	5	
f_t1_4	f_t1_4_d1	1	1	f	0	4	2383265370	1,13E-06	11,26	23,8326537	0,472664132	EVO	5	
control_t1_1	control_t1_1_d1	1	1	control	0	c1	0	-1,02E-09	-0,01	0	NA	X	X	
control_t1_2	control_t1_2_d1	1	1	control	0	c2	0	-1,07E-09	-0,01	0	NA	X	X	
a_t2_1	a_t2_1_d1	1	2	a	0	1	2631932122	1,30E-06	13,00	26,31932122	0,493865233	ANC	50	
b_t2_1	b_t2_1_d1	1	2	b	0	1	2213584215	1,16E-06	11,57	22,13584215	0,522835212	E1287	50	
c_t2_1	c_t2_1_d1	1	2	c	0	1	2222120965	1,33E-06	13,30	22,22120965	0,598511097	E1896	50	
d_t2_1	d_t2_1_d1	1	2	d	0	1	2926483978	1,42E-06	14,23	29,26483978	0,486193304	E1972	50	
e_t2_1	e_t2_1_d1	1	2	e	0	1	2422056340	1,33E-06	13,29	24,2205634	0,548547957	E1977	50	
f_t2_1	f_t2_1_d1	1	2	f	0	1	2708282821	1,23E-06	12,27	27,08282821	0,452989111	EVO	50	
a_t2_2	a_t2_2_d1	1	2	a	0	2	2207260819	1,31E-06	13,07	22,07260819	0,59211194	ANC	50	
b_t2_2	b_t2_2_d1	1	2	b	0	2	1543470680	1,14E-06	11,37	15,4347068	0,736572685	E1287	50	
c_t2_2	c_t2_2_d1	1	2	c	0	2	2468793862	1,32E-06	13,20	24,68793862	0,534778109	E1896	50	
d_t2_2	d_t2_2_d1	1	2	d	0	2	2805358054	1,36E-06	13,56	28,05358054	0,483383084	E1972	50	
e_t2_2	e_t2_2_d1	1	2	e	0	2	2469837159	1,28E-06	12,81	24,69837159	0,518744922	E1977	50	
f_t2_2	f_t2_2_d1	1	2	f	0	2	2773485800	1,16E-06	11,64	27,734858	0,419737316	EVO	50	
a_t2_3	a_t2_3_d1	1	2	a	0	3	2283297373	1,27E-06	12,73	22,83297373	0,557384278	ANC	50	
b_t2_3	b_t2_3_d1	1	2	b	0	3	1781823323	1,14E-06	11,42	17,81823323	0,641071929	E1287	50	
c_t2_3	c_t2_3_d1	1	2	c	0	3	2553903742	1,32E-06	13,21	25,53903742	0,517128697	E1896	50	
d_t2_3	d_t2_3_d1	1	2	d	0	3	2904961085	1,42E-06	14,25	29,04961085	0,490406294	E1972	50	
e_t2_3	e_t2_3_d1	1	2	e	0	3	2725009009	1,38E-06	13,78	27,25009009	0,505705715	E1977	50	
f_t2_3	f_t2_3_d1	1	2	f	0	3	2866359171	1,27E-06	12,68	28,66359171	0,442470638	EVO	50	
a_t2_4	a_t2_4_d1	1	2	a	0	4	2114233046	1,36E-06	13,62	21,14233046	0,644019989	ANC	50	
b_t2_4	b_t2_4_d1	1	2	b	0	4	1522046607	1,19E-06	11,89	15,22046607	0,781335037	E1287	50	
c_t2_4	c_t2_4_d1	1	2	c	0	4	2281258386	1,30E-06	13,02	22,81258386	0,570833339	E1896	50	
d_t2_4	d_t2_4_d1	1	2	d	0	4	2914280426	1,36E-06	13,61	29,14280426	0,467050769	E1972	50	
e_t2_4	e_t2_4_d1	1	2	e	0	4	2432470224	1,34E-06	13,35	24,32470224	0,548935711	E1977	50	
f_t2_4	f_t2_4_d1	1	2	f	0	4	2669569438	1,16E-06	11,58	26,69569438	0,433769703	EVO	50	
control_t2_1	control_t2_1_d1	1	2	control	0	c1	0	-1,13E-09	-0,01	0	NA	X	X	
control_t2_2	control_t2_2_d1	1	2	control	0	c2	0	-1,19E-09	-0,01	0	NA	X	X	
a_t3_1	a_t3_1_d1	1	3	a	0	1	2895369993	1,37E-06	13,72	28,95369993	0,473943297	ANC	500	
b_t3_1	b_t3_1_d1	1	3	b	0	1	1896484460	1,13E-06	11,33	18,9648446	0,597401483	E1287	500	
c_t3_1	c_t3_1_d1	1	3	c	0	1	2532909993	1,39E-06	13,93	25,32909993	0,549880709	E1896	500	
d_t3_1	d_t3_1_d1	1	3	d	0	1	2769782469	1,42E-06	14,16	27,69782469	0,51135828	E1972	500	
