strainID	Pop	MIC	k
1	HAMBI-0006	ANC	28.90254986	0.8215606585
2	HAMBI-0097	ANC	0.75182165	1.11765455
3	HAMBI-0105	ANC	4.567316521	0.5974698495
4	HAMBI-0262	ANC	1.353278969	0.2981429585
5	HAMBI-0403	ANC	395.0617284	0.1961860195
6	HAMBI-1279	ANC	0.400971546	0.163662206
7	HAMBI-1287	ANC	12.845577715	0.455751903
8	HAMBI-1292	ANC	0.400971546	0.29052215
9	HAMBI-1299	ANC	2.199078325	0.405406937
10	HAMBI-1842	ANC	0.90218598	0.4150890845
11	HAMBI-1896	ANC	34.68305983	0.285203759
12	HAMBI-1972	ANC	146.31915865	0.3310849625
13	HAMBI-1977	ANC	641.97530865	0.470410978
14	HAMBI-1988	ANC	0	0
15	HAMBI-2159	ANC	1666.6666665	0.700481688
16	HAMBI-2160	ANC	0.267314364	0.1551393345
17	HAMBI-2164	ANC	3.044877681	0.537405613
18	HAMBI-2443	ANC	0	0.6589275925
19	HAMBI-2494	ANC	3.044877681	0.620274515
20	HAMBI-2659	ANC	4.9479262315	0.5560213805
21	HAMBI-2792	ANC	0	0.927376103
22	HAMBI-3031	ANC	0.30072866	0.3101627655
23	HAMBI-3237	ANC	0	0.472725881
24	HAMBI-0006	EVO	1666.6666665	0.5753560335
25	HAMBI-0097	EVO	0.400971546	0.5416475465
26	HAMBI-0105	EVO	5.7091456515	0.5340330575
27	HAMBI-0262	EVO	5.7091456515	0.2794970695
28	HAMBI-0403	EVO	329.218107	0.236233368
29	HAMBI-1279	EVO	78.03688462	0.2181411735
30	HAMBI-1287	EVO	117.0553269	0.3971533675
31	HAMBI-1292	EVO	0.267314364	0.279428916
32	HAMBI-1299	EVO	117.0553269	0.841213182
33	HAMBI-1842	EVO	0.90218598	0.700177546
34	HAMBI-1896	EVO	888.8888889	0.3529162195
35	HAMBI-1972	EVO	1666.6666665	0.392228306
36	HAMBI-1977	EVO	2000	0.3468118415
37	HAMBI-1988	EVO	0.200485773	0.331532757
38	HAMBI-2159	EVO	2000	0.599046405
39	HAMBI-2160	EVO	4.9479262315	0.058150793
40	HAMBI-2164	EVO	34.68305983	0.629882581
41	HAMBI-2443	EVO	0.133657182	0.6263052585
42	HAMBI-2494	EVO	78.03688462	0.5368561245
43	HAMBI-2659	EVO	4.9479262315	0.4315209085
44	HAMBI-2792	EVO	0.60145732	0.6343611865
45	HAMBI-3031	EVO	1.353278969	0.187311066
46	HAMBI-3237	EVO	0	0
