sample	strainID	count	count_correct	f	f_correct
f_t3_3_d12	HAMBI_0006	0	0	0	0
f_t3_3_d12	HAMBI_0097	0	0	0	0
f_t3_3_d12	HAMBI_0105	18	25	0.00544464609800363	0.0075642965204236
f_t3_3_d12	HAMBI_0262	0	0	0	0
f_t3_3_d12	HAMBI_0403	166	241	0.0502117362371446	0.0729198184568835
f_t3_3_d12	HAMBI_1279	0	0	0	0
f_t3_3_d12	HAMBI_1287	228	537	0.0689655172413793	0.162481089258699
f_t3_3_d12	HAMBI_1292	0	0	0	0
f_t3_3_d12	HAMBI_1299	0	0	0	0
f_t3_3_d12	HAMBI_1842	0	0	0	0
f_t3_3_d12	HAMBI_1896	386	389	0.1167574107683	0.117700453857791
f_t3_3_d12	HAMBI_1972	1921	1873	0.581064730792499	0.566717095310136
f_t3_3_d12	HAMBI_1977	2	2	0.000604960677555959	0.000605143721633888
f_t3_3_d12	HAMBI_1988	0	0	0	0
f_t3_3_d12	HAMBI_2159	0	0	0	0
f_t3_3_d12	HAMBI_2160	24	39	0.00725952813067151	0.0118003025718608
f_t3_3_d12	HAMBI_2164	0	0	0	0
f_t3_3_d12	HAMBI_2443	1	4	0.000302480338777979	0.00121028744326778
f_t3_3_d12	HAMBI_2494	0	0	0	0
f_t3_3_d12	HAMBI_2659	546	187	0.165154264972777	0.0565809379727685
f_t3_3_d12	HAMBI_2792	0	0	0	0
f_t3_3_d12	HAMBI_3031	14	8	0.00423472474289171	0.00242057488653555
f_t3_3_d12	HAMBI_3237	0	0	0	0
e_t2_4_d12	HAMBI_0006	54	9	0.0233968804159445	0.00389779125162408
e_t2_4_d12	HAMBI_0097	0	0	0	0
e_t2_4_d12	HAMBI_0105	58	74	0.0251299826689775	0.0320485058466869
e_t2_4_d12	HAMBI_0262	0	0	0	0
e_t2_4_d12	HAMBI_0403	66	86	0.0285961871750433	0.0372455608488523
e_t2_4_d12	HAMBI_1279	0	0	0	0
e_t2_4_d12	HAMBI_1287	253	537	0.109618717504333	0.232568211346903
e_t2_4_d12	HAMBI_1292	45	88	0.0194974003466204	0.0381117366825466
e_t2_4_d12	HAMBI_1299	0	0	0	0
e_t2_4_d12	HAMBI_1842	0	0	0	0
e_t2_4_d12	HAMBI_1896	377	342	0.163344887348354	0.148116067561715
e_t2_4_d12	HAMBI_1972	1048	920	0.454072790294627	0.39844088349935
e_t2_4_d12	HAMBI_1977	1	1	0.000433275563258232	0.00043308791684712
e_t2_4_d12	HAMBI_1988	0	0	0	0
e_t2_4_d12	HAMBI_2159	0	0	0	0
e_t2_4_d12	HAMBI_2160	71	104	0.0307625649913345	0.0450411433521005
e_t2_4_d12	HAMBI_2164	1	2	0.000433275563258232	0.00086617583369424
e_t2_4_d12	HAMBI_2443	13	44	0.00563258232235702	0.0190558683412733
e_t2_4_d12	HAMBI_2494	0	0	0	0
e_t2_4_d12	HAMBI_2659	307	95	0.133015597920277	0.0411433521004764
e_t2_4_d12	HAMBI_2792	0	0	0	0
e_t2_4_d12	HAMBI_3031	14	7	0.00606585788561525	0.00303161541792984
e_t2_4_d12	HAMBI_3237	0	0	0	0
d_t2_1_d12	HAMBI_0006	124	20	0.0276909334524341	0.00446727719454992
d_t2_1_d12	HAMBI_0097	0	0	0	0
d_t2_1_d12	HAMBI_0105	2	3	0.000446627958910228	0.000670091579182488
d_t2_1_d12	HAMBI_0262	0	0	0	0
