sample	strainID	count	count_correct	f	f_correct
EVO_p6_4D	HAMBI_0006	218	50	0.147796610169492	0.03385240352065
EVO_p6_4D	HAMBI_0097	123	134	0.0833898305084746	0.0907244414353419
EVO_p6_4D	HAMBI_0105	3	333	0.00203389830508475	0.225457007447529
EVO_p6_4D	HAMBI_0262	49	1	0.0332203389830508	0.000677048070412999
EVO_p6_4D	HAMBI_0403	51	52	0.0345762711864407	0.035206499661476
EVO_p6_4D	HAMBI_1279	26	18	0.0176271186440678	0.012186865267434
EVO_p6_4D	HAMBI_1287	17	69	0.0115254237288136	0.046716316858497
EVO_p6_4D	HAMBI_1292	15	60	0.0101694915254237	0.04062288422478
EVO_p6_4D	HAMBI_1299	2	50	0.00135593220338983	0.03385240352065
EVO_p6_4D	HAMBI_1842	82	34	0.055593220338983	0.023019634394042
EVO_p6_4D	HAMBI_1896	26	38	0.0176271186440678	0.025727826675694
EVO_p6_4D	HAMBI_1972	12	15	0.00813559322033898	0.010155721056195
EVO_p6_4D	HAMBI_1977	1	1	0.000677966101694915	0.000677048070412999
EVO_p6_4D	HAMBI_1988	137	100	0.0928813559322034	0.0677048070412999
EVO_p6_4D	HAMBI_2159	46	63	0.0311864406779661	0.042654028436019
EVO_p6_4D	HAMBI_2160	53	54	0.0359322033898305	0.036560595802302
EVO_p6_4D	HAMBI_2164	127	120	0.0861016949152542	0.0812457684495599
EVO_p6_4D	HAMBI_2443	4	119	0.00271186440677966	0.0805687203791469
EVO_p6_4D	HAMBI_2494	18	31	0.0122033898305085	0.020988490182803
EVO_p6_4D	HAMBI_2659	389	100	0.263728813559322	0.0677048070412999
EVO_p6_4D	HAMBI_2792	4	3	0.00271186440677966	0.002031144211239
EVO_p6_4D	HAMBI_3031	72	32	0.0488135593220339	0.021665538253216
EVO_p6_4D	HAMBI_3237	0	0	0	0
EVO_p9_4B	HAMBI_0006	582	127	0.315618221258134	0.0688346883468835
EVO_p9_4B	HAMBI_0097	1	1	0.000542299349240781	0.000542005420054201
EVO_p9_4B	HAMBI_0105	0	0	0	0
EVO_p9_4B	HAMBI_0262	0	0	0	0
EVO_p9_4B	HAMBI_0403	1	1	0.000542299349240781	0.000542005420054201
EVO_p9_4B	HAMBI_1279	0	0	0	0
EVO_p9_4B	HAMBI_1287	8	31	0.00433839479392625	0.0168021680216802
EVO_p9_4B	HAMBI_1292	0	0	0	0
EVO_p9_4B	HAMBI_1299	0	0	0	0
EVO_p9_4B	HAMBI_1842	0	0	0	0
EVO_p9_4B	HAMBI_1896	691	955	0.37472885032538	0.517615176151762
EVO_p9_4B	HAMBI_1972	7	8	0.00379609544468547	0.0043360433604336
EVO_p9_4B	HAMBI_1977	0	0	0	0
EVO_p9_4B	HAMBI_1988	0	0	0	0
EVO_p9_4B	HAMBI_2159	546	716	0.296095444685466	0.388075880758808
EVO_p9_4B	HAMBI_2160	2	2	0.00108459869848156	0.0010840108401084
EVO_p9_4B	HAMBI_2164	3	3	0.00162689804772234	0.0016260162601626
EVO_p9_4B	HAMBI_2443	0	0	0	0
EVO_p9_4B	HAMBI_2494	0	0	0	0
EVO_p9_4B	HAMBI_2659	3	1	0.00162689804772234	0.000542005420054201
